study: 1from: 4000 successful	time increment: 0.4288954734802246	 total time: 0.4288954734802246
study: 170from: 4000 successful	time increment: 0.14949250221252441	 total time: 39.27312111854553
study: 171from: 4000 successful	time increment: 0.24370098114013672	 total time: 39.51682209968567
study: 172from: 4000 successful	time increment: 0.2065725326538086	 total time: 39.72339463233948
study: 173from: 4000 successful	time increment: 0.21215391159057617	 total time: 39.935548543930054
study: 174from: 4000 successful	time increment: 0.1757047176361084	 total time: 40.11125326156616
study: 175from: 4000 successful	time increment: 0.28118443489074707	 total time: 40.39243769645691
study: 176from: 4000 successful	time increment: 0.23247098922729492	 total time: 40.624908685684204
study: 177from: 4000 successful	time increment: 0.3083503246307373	 total time: 40.93325901031494
study: 178from: 4000 successful	time increment: 0.2523775100708008	 total time: 41.18563652038574
study: 179from: 4000 successful	time increment: 0.26291799545288086	 total time: 41.44855451583862
study: 180from: 4000 successful	time increment: 0.2913970947265625	 total time: 41.739951610565186
study: 181from: 4000 successful	time increment: 0.3072512149810791	 total time: 42.047202825546265
study: 182from: 4000 successful	time increment: 0.2587120532989502	 total time: 42.305914878845215
study: 183from: 4000 successful	time increment: 0.14255666732788086	 total time: 42.448471546173096
study: 184from: 4000 successful	time increment: 0.1491091251373291	 total time: 42.597580671310425
study: 185from: 4000 successful	time increment: 0.22752141952514648	 total time: 42.82510209083557
study: 186from: 4000 successful	time increment: 0.20618247985839844	 total time: 43.03128457069397
study: 187from: 4000 successful	time increment: 0.34882068634033203	 total time: 43.3801052570343
study: 188from: 4000 successful	time increment: 0.22203326225280762	 total time: 43.60213851928711
study: 189from: 4000 successful	time increment: 0.2623913288116455	 total time: 43.864529848098755
study: 190from: 4000 successful	time increment: 0.18330907821655273	 total time: 44.04783892631531
study: 191from: 4000 successful	time increment: 0.17697763442993164	 total time: 44.22481656074524
study: 192from: 4000 successful	time increment: 0.3232688903808594	 total time: 44.5480854511261
study: 193from: 4000 successful	time increment: 0.26282644271850586	 total time: 44.810911893844604
study: 194from: 4000 successful	time increment: 0.2065260410308838	 total time: 45.01743793487549
study: 195from: 4000 successful	time increment: 0.27941179275512695	 total time: 45.296849727630615
study: 196from: 4000 successful	time increment: 0.20416831970214844	 total time: 45.501018047332764
study: 197from: 4000 successful	time increment: 0.27672362327575684	 total time: 45.77774167060852
study: 198from: 4000 successful	time increment: 0.2071981430053711	 total time: 45.98493981361389
study: 199from: 4000 successful	time increment: 0.2127513885498047	 total time: 46.197691202163696
study: 200from: 4000 successful	time increment: 0.18833708763122559	 total time: 46.38602828979492
study: 201from: 4000 successful	time increment: 0.17268919944763184	 total time: 46.558717489242554
study: 202from: 4000 successful	time increment: 0.25652217864990234	 total time: 46.815239667892456
study: 203from: 4000 successful	time increment: 0.19563055038452148	 total time: 47.01087021827698
study: 204from: 4000 successful	time increment: 0.18639206886291504	 total time: 47.19726228713989
study: 205from: 4000 successful	time increment: 0.20252537727355957	 total time: 47.39978766441345
study: 206from: 4000 successful	time increment: 0.2541365623474121	 total time: 47.653924226760864
study: 207from: 4000 successful	time increment: 0.15095734596252441	 total time: 47.80488157272339
study: 208from: 4000 successful	time increment: 0.19947457313537598	 total time: 48.004356145858765
study: 209from: 4000 successful	time increment: 0.1275928020477295	 total time: 48.131948947906494
study: 210from: 4000 successful	time increment: 0.22449231147766113	 total time: 48.356441259384155
study: 211from: 4000 successful	time increment: 0.21011781692504883	 total time: 48.566559076309204
study: 212from: 4000 successful	time increment: 0.19876503944396973	 total time: 48.765324115753174
study: 213from: 4000 successful	time increment: 0.1725454330444336	 total time: 48.93786954879761
study: 214from: 4000 successful	time increment: 0.3065180778503418	 total time: 49.24438762664795
study: 215from: 4000 successful	time increment: 0.1877765655517578	 total time: 49.43216419219971
study: 216from: 4000 successful	time increment: 0.2781040668487549	 total time: 49.71026825904846
study: 217from: 4000 successful	time increment: 0.12644600868225098	 total time: 49.83671426773071
study: 218from: 4000 successful	time increment: 0.22138118743896484	 total time: 50.05809545516968
study: 219from: 4000 successful	time increment: 0.19405770301818848	 total time: 50.252153158187866
study: 220from: 4000 successful	time increment: 0.259751558303833	 total time: 50.5119047164917
study: 221from: 4000 successful	time increment: 0.1692359447479248	 total time: 50.681140661239624
study: 222from: 4000 successful	time increment: 0.26749420166015625	 total time: 50.94863486289978
study: 223from: 4000 successful	time increment: 0.252666711807251	 total time: 51.20130157470703
study: 224from: 4000 successful	time increment: 0.3785877227783203	 total time: 51.57988929748535
study: 225from: 4000 successful	time increment: 0.19471216201782227	 total time: 51.774601459503174
study: 226from: 4000 successful	time increment: 0.1855146884918213	 total time: 51.960116147994995
study: 227from: 4000 successful	time increment: 0.16256117820739746	 total time: 52.12267732620239
study: 228from: 4000 successful	time increment: 0.3947298526763916	 total time: 52.517407178878784
study: 229from: 4000 successful	time increment: 0.22548222541809082	 total time: 52.742889404296875
study: 230from: 4000 successful	time increment: 0.26752781867980957	 total time: 53.010417222976685
study: 231from: 4000 successful	time increment: 0.15833687782287598	 total time: 53.16875410079956
study: 232from: 4000 successful	time increment: 0.18590140342712402	 total time: 53.354655504226685
study: 233from: 4000 successful	time increment: 0.26122474670410156	 total time: 53.615880250930786
study: 234from: 4000 successful	time increment: 0.2540931701660156	 total time: 53.8699734210968
study: 235from: 4000 successful	time increment: 0.2922780513763428	 total time: 54.162251472473145
study: 236from: 4000 successful	time increment: 0.16242265701293945	 total time: 54.324674129486084
study: 237from: 4000 successful	time increment: 0.19689083099365234	 total time: 54.521564960479736
study: 238from: 4000 successful	time increment: 0.2932262420654297	 total time: 54.814791202545166
study: 239from: 4000 successful	time increment: 0.345473051071167	 total time: 55.16026425361633
study: 240from: 4000 successful	time increment: 0.28641223907470703	 total time: 55.44667649269104
study: 241from: 4000 successful	time increment: 0.2803666591644287	 total time: 55.72704315185547
study: 242from: 4000 successful	time increment: 0.18422770500183105	 total time: 55.9112708568573
study: 243from: 4000 successful	time increment: 0.1397383213043213	 total time: 56.05100917816162
study: 244from: 4000 successful	time increment: 0.31491518020629883	 total time: 56.36592435836792
study: 245from: 4000 successful	time increment: 0.3065314292907715	 total time: 56.67245578765869
study: 246from: 4000 successful	time increment: 0.18106961250305176	 total time: 56.85352540016174
study: 247from: 4000 successful	time increment: 0.2460956573486328	 total time: 57.099621057510376
study: 248from: 4000 successful	time increment: 0.1845235824584961	 total time: 57.28414463996887
study: 249from: 4000 successful	time increment: 0.1626443862915039	 total time: 57.446789026260376
study: 250from: 4000 successful	time increment: 0.2916526794433594	 total time: 57.738441705703735
study: 251from: 4000 successful	time increment: 0.16626214981079102	 total time: 57.904703855514526
study: 252from: 4000 successful	time increment: 0.14788126945495605	 total time: 58.05258512496948
study: 253from: 4000 successful	time increment: 0.30434441566467285	 total time: 58.356929540634155
study: 254from: 4000 successful	time increment: 0.1412186622619629	 total time: 58.49814820289612
study: 255from: 4000 successful	time increment: 0.1617732048034668	 total time: 58.659921407699585
study: 256from: 4000 successful	time increment: 0.3215901851654053	 total time: 58.98151159286499
study: 257from: 4000 successful	time increment: 0.23902201652526855	 total time: 59.22053360939026
study: 258from: 4000 successful	time increment: 0.173753023147583	 total time: 59.39428663253784
study: 259from: 4000 successful	time increment: 0.1464991569519043	 total time: 59.540785789489746
study: 260from: 4000 successful	time increment: 0.10597586631774902	 total time: 59.646761655807495
study: 261from: 4000 successful	time increment: 0.2477278709411621	 total time: 59.89448952674866
study: 262from: 4000 successful	time increment: 0.29950952529907227	 total time: 60.19399905204773
study: 263from: 4000 successful	time increment: 0.3387184143066406	 total time: 60.53271746635437
study: 264from: 4000 successful	time increment: 0.33396410942077637	 total time: 60.86668157577515
study: 265from: 4000 successful	time increment: 0.1766185760498047	 total time: 61.04330015182495
study: 266from: 4000 successful	time increment: 0.21202921867370605	 total time: 61.25532937049866
study: 267from: 4000 successful	time increment: 0.12552618980407715	 total time: 61.380855560302734
study: 268from: 4000 successful	time increment: 0.12350344657897949	 total time: 61.504359006881714
study: 269from: 4000 successful	time increment: 0.2441263198852539	 total time: 61.74848532676697
study: 270from: 4000 successful	time increment: 0.33058953285217285	 total time: 62.07907485961914
study: 271from: 4000 successful	time increment: 0.18018007278442383	 total time: 62.259254932403564
study: 272from: 4000 successful	time increment: 0.2306668758392334	 total time: 62.4899218082428
study: 273from: 4000 successful	time increment: 0.16582798957824707	 total time: 62.655749797821045
study: 274from: 4000 successful	time increment: 0.3051884174346924	 total time: 62.96093821525574
study: 275from: 4000 successful	time increment: 0.21847867965698242	 total time: 63.17941689491272
study: 276from: 4000 successful	time increment: 0.2507448196411133	 total time: 63.43016171455383
study: 277from: 4000 successful	time increment: 0.20406270027160645	 total time: 63.63422441482544
study: 278from: 4000 successful	time increment: 0.1540827751159668	 total time: 63.788307189941406
study: 279from: 4000 successful	time increment: 0.1984553337097168	 total time: 63.98676252365112
study: 280from: 4000 successful	time increment: 0.2113509178161621	 total time: 64.19811344146729
study: 281from: 4000 successful	time increment: 0.20761394500732422	 total time: 64.40572738647461
study: 282from: 4000 successful	time increment: 0.21431398391723633	 total time: 64.62004137039185
study: 283from: 4000 successful	time increment: 0.277987003326416	 total time: 64.89802837371826
study: 284from: 4000 successful	time increment: 0.21555519104003906	 total time: 65.1135835647583
study: 285from: 4000 successful	time increment: 0.20010018348693848	 total time: 65.31368374824524
study: 286from: 4000 successful	time increment: 0.3013947010040283	 total time: 65.61507844924927
study: 287from: 4000 successful	time increment: 0.19187617301940918	 total time: 65.80695462226868
study: 288from: 4000 successful	time increment: 0.19233155250549316	 total time: 65.99928617477417
study: 289from: 4000 successful	time increment: 0.10893869400024414	 total time: 66.10822486877441
study: 290from: 4000 successful	time increment: 0.15320658683776855	 total time: 66.26143145561218
study: 291from: 4000 successful	time increment: 0.29724574089050293	 total time: 66.55867719650269
study: 292from: 4000 successful	time increment: 0.18243670463562012	 total time: 66.7411139011383
study: 293from: 4000 successful	time increment: 0.24005532264709473	 total time: 66.9811692237854
study: 294from: 4000 successful	time increment: 0.23724937438964844	 total time: 67.21841859817505
study: 295from: 4000 successful	time increment: 0.16423439979553223	 total time: 67.38265299797058
study: 296from: 4000 successful	time increment: 0.11677241325378418	 total time: 67.49942541122437
study: 297from: 4000 successful	time increment: 0.2580385208129883	 total time: 67.75746393203735
study: 298from: 4000 successful	time increment: 0.19302654266357422	 total time: 67.95049047470093
study: 299from: 4000 successful	time increment: 0.18166732788085938	 total time: 68.13215780258179
study: 300from: 4000 successful	time increment: 0.12221789360046387	 total time: 68.25437569618225
study: 301from: 4000 successful	time increment: 0.24298834800720215	 total time: 68.49736404418945
study: 302from: 4000 successful	time increment: 0.20404601097106934	 total time: 68.70141005516052
study: 303from: 4000 successful	time increment: 0.22762489318847656	 total time: 68.929034948349
study: 304from: 4000 successful	time increment: 0.17708611488342285	 total time: 69.10612106323242
study: 305from: 4000 successful	time increment: 0.21790432929992676	 total time: 69.32402539253235
study: 306from: 4000 successful	time increment: 0.1545717716217041	 total time: 69.47859716415405
study: 307from: 4000 successful	time increment: 0.2928900718688965	 total time: 69.77148723602295
study: 308from: 4000 successful	time increment: 0.19536185264587402	 total time: 69.96684908866882
study: 309from: 4000 successful	time increment: 0.2066950798034668	 total time: 70.17354416847229
study: 310from: 4000 successful	time increment: 0.29705333709716797	 total time: 70.47059750556946
study: 311from: 4000 successful	time increment: 0.14779949188232422	 total time: 70.61839699745178
study: 312from: 4000 successful	time increment: 0.28217649459838867	 total time: 70.90057349205017
study: 313from: 4000 successful	time increment: 0.23455357551574707	 total time: 71.13512706756592
study: 314from: 4000 successful	time increment: 0.3432798385620117	 total time: 71.47840690612793
study: 315from: 4000 successful	time increment: 0.3218204975128174	 total time: 71.80022740364075
study: 316from: 4000 successful	time increment: 0.23328804969787598	 total time: 72.03351545333862
study: 317from: 4000 successful	time increment: 0.13413596153259277	 total time: 72.16765141487122
study: 318from: 4000 successful	time increment: 0.13680768013000488	 total time: 72.30445909500122
study: 319from: 4000 successful	time increment: 0.23920297622680664	 total time: 72.54366207122803
study: 320from: 4000 successful	time increment: 0.20508146286010742	 total time: 72.74874353408813
study: 321from: 4000 successful	time increment: 0.23903203010559082	 total time: 72.98777556419373
study: 322from: 4000 successful	time increment: 0.15980267524719238	 total time: 73.14757823944092
study: 323from: 4000 successful	time increment: 0.16228675842285156	 total time: 73.30986499786377
study: 324from: 4000 successful	time increment: 0.3228950500488281	 total time: 73.6327600479126
study: 325from: 4000 successful	time increment: 0.1703634262084961	 total time: 73.8031234741211
study: 326from: 4000 successful	time increment: 0.30660200119018555	 total time: 74.10972547531128
study: 327from: 4000 successful	time increment: 0.16918468475341797	 total time: 74.2789101600647
study: 328from: 4000 successful	time increment: 0.3441801071166992	 total time: 74.6230902671814
study: 329from: 4000 successful	time increment: 0.19832706451416016	 total time: 74.82141733169556
study: 330from: 4000 successful	time increment: 0.18430018424987793	 total time: 75.00571751594543
study: 331from: 4000 successful	time increment: 0.22543120384216309	 total time: 75.2311487197876
study: 332from: 4000 successful	time increment: 0.1555027961730957	 total time: 75.3866515159607
study: 333from: 4000 successful	time increment: 0.20911455154418945	 total time: 75.59576606750488
study: 334from: 4000 successful	time increment: 0.21766138076782227	 total time: 75.8134274482727
study: 335from: 4000 successful	time increment: 0.2778041362762451	 total time: 76.09123158454895
study: 336from: 4000 successful	time increment: 0.3385918140411377	 total time: 76.42982339859009
study: 337from: 4000 successful	time increment: 0.3287968635559082	 total time: 76.758620262146
study: 338from: 4000 successful	time increment: 0.23715925216674805	 total time: 76.99577951431274
study: 339from: 4000 successful	time increment: 0.3661956787109375	 total time: 77.36197519302368
study: 340from: 4000 successful	time increment: 0.16123437881469727	 total time: 77.52320957183838
study: 341from: 4000 successful	time increment: 0.3679616451263428	 total time: 77.89117121696472
study: 342from: 4000 successful	time increment: 0.16474056243896484	 total time: 78.05591177940369
study: 343from: 4000 successful	time increment: 0.28457117080688477	 total time: 78.34048295021057
study: 344from: 4000 successful	time increment: 0.2362673282623291	 total time: 78.5767502784729
study: 345from: 4000 successful	time increment: 0.27179813385009766	 total time: 78.848548412323
study: 346from: 4000 successful	time increment: 0.28380370140075684	 total time: 79.13235211372375
study: 347from: 4000 successful	time increment: 0.2449808120727539	 total time: 79.37733292579651
study: 348from: 4000 successful	time increment: 0.2279655933380127	 total time: 79.60529851913452
study: 349from: 4000 successful	time increment: 0.184922456741333	 total time: 79.79022097587585
