study: 1from: 4000 successful	time increment: 0.515716552734375	 total time: 0.515716552734375
study: 216from: 4000 successful	time increment: 0.2087857723236084	 total time: 50.15364146232605
study: 217from: 4000 successful	time increment: 0.3085191249847412	 total time: 50.46216058731079
study: 218from: 4000 successful	time increment: 0.23577356338500977	 total time: 50.6979341506958
study: 219from: 4000 successful	time increment: 0.2878146171569824	 total time: 50.98574876785278
study: 220from: 4000 successful	time increment: 0.208648681640625	 total time: 51.19439744949341
study: 221from: 4000 successful	time increment: 0.2270352840423584	 total time: 51.42143273353577
study: 222from: 4000 successful	time increment: 0.304884672164917	 total time: 51.726317405700684
study: 223from: 4000 successful	time increment: 0.29178285598754883	 total time: 52.01810026168823
study: 224from: 4000 successful	time increment: 0.33249568939208984	 total time: 52.35059595108032
study: 225from: 4000 successful	time increment: 0.16385340690612793	 total time: 52.51444935798645
study: 226from: 4000 successful	time increment: 0.29942846298217773	 total time: 52.81387782096863
study: 227from: 4000 successful	time increment: 0.15682148933410645	 total time: 52.970699310302734
study: 228from: 4000 successful	time increment: 0.32277417182922363	 total time: 53.29347348213196
study: 229from: 4000 successful	time increment: 0.20754265785217285	 total time: 53.50101613998413
study: 230from: 4000 successful	time increment: 0.23002266883850098	 total time: 53.73103880882263
study: 231from: 4000 successful	time increment: 0.09197831153869629	 total time: 53.82301712036133
study: 232from: 4000 successful	time increment: 0.24130845069885254	 total time: 54.06432557106018
study: 233from: 4000 successful	time increment: 0.2914433479309082	 total time: 54.35576891899109
study: 234from: 4000 successful	time increment: 0.251101016998291	 total time: 54.60686993598938
study: 235from: 4000 successful	time increment: 0.19185972213745117	 total time: 54.79872965812683
study: 236from: 4000 successful	time increment: 0.24341416358947754	 total time: 55.04214382171631
study: 237from: 4000 successful	time increment: 0.20063996315002441	 total time: 55.24278378486633
study: 238from: 4000 successful	time increment: 0.19144296646118164	 total time: 55.434226751327515
study: 239from: 4000 successful	time increment: 0.25107502937316895	 total time: 55.685301780700684
study: 240from: 4000 successful	time increment: 0.24691486358642578	 total time: 55.93221664428711
study: 241from: 4000 successful	time increment: 0.24095821380615234	 total time: 56.17317485809326
study: 242from: 4000 successful	time increment: 0.21655893325805664	 total time: 56.38973379135132
study: 243from: 4000 successful	time increment: 0.239288330078125	 total time: 56.62902212142944
study: 244from: 4000 successful	time increment: 0.2137281894683838	 total time: 56.84275031089783
study: 245from: 4000 successful	time increment: 0.153212308883667	 total time: 56.995962619781494
study: 246from: 4000 successful	time increment: 0.3325047492980957	 total time: 57.32846736907959
study: 247from: 4000 successful	time increment: 0.29168200492858887	 total time: 57.62014937400818
study: 248from: 4000 successful	time increment: 0.22930145263671875	 total time: 57.8494508266449
study: 249from: 4000 successful	time increment: 0.25501036643981934	 total time: 58.10446119308472
study: 250from: 4000 successful	time increment: 0.2255246639251709	 total time: 58.32998585700989
study: 251from: 4000 successful	time increment: 0.2534019947052002	 total time: 58.58338785171509
study: 252from: 4000 successful	time increment: 0.28282833099365234	 total time: 58.86621618270874
study: 253from: 4000 successful	time increment: 0.18600249290466309	 total time: 59.0522186756134
study: 254from: 4000 successful	time increment: 0.16649460792541504	 total time: 59.21871328353882
study: 255from: 4000 successful	time increment: 0.25081300735473633	 total time: 59.469526290893555
study: 256from: 4000 successful	time increment: 0.30802178382873535	 total time: 59.77754807472229
study: 257from: 4000 successful	time increment: 0.11437606811523438	 total time: 59.891924142837524
study: 258from: 4000 successful	time increment: 0.3109140396118164	 total time: 60.20283818244934
study: 259from: 4000 successful	time increment: 0.18665790557861328	 total time: 60.389496088027954
study: 260from: 4000 successful	time increment: 0.17391467094421387	 total time: 60.56341075897217
study: 261from: 4000 successful	time increment: 0.1881577968597412	 total time: 60.75156855583191
study: 262from: 4000 successful	time increment: 0.21372771263122559	 total time: 60.965296268463135
study: 263from: 4000 successful	time increment: 0.4488804340362549	 total time: 61.41417670249939
study: 264from: 4000 successful	time increment: 0.2500314712524414	 total time: 61.66420817375183
study: 265from: 4000 successful	time increment: 0.10299038887023926	 total time: 61.76719856262207
study: 266from: 4000 successful	time increment: 0.26982760429382324	 total time: 62.037026166915894
study: 267from: 4000 successful	time increment: 0.3204531669616699	 total time: 62.35747933387756
study: 268from: 4000 successful	time increment: 0.20526790618896484	 total time: 62.56274724006653
study: 269from: 4000 successful	time increment: 0.15845155715942383	 total time: 62.72119879722595
study: 270from: 4000 successful	time increment: 0.1943514347076416	 total time: 62.915550231933594
study: 271from: 4000 successful	time increment: 0.21862435340881348	 total time: 63.13417458534241
study: 272from: 4000 successful	time increment: 0.3056015968322754	 total time: 63.43977618217468
study: 273from: 4000 successful	time increment: 0.23758912086486816	 total time: 63.67736530303955
study: 274from: 4000 successful	time increment: 0.22995686531066895	 total time: 63.90732216835022
study: 275from: 4000 successful	time increment: 0.18581676483154297	 total time: 64.09313893318176
study: 276from: 4000 successful	time increment: 0.23927521705627441	 total time: 64.33241415023804
study: 277from: 4000 successful	time increment: 0.2334885597229004	 total time: 64.56590270996094
study: 278from: 4000 successful	time increment: 0.2822294235229492	 total time: 64.84813213348389
study: 279from: 4000 successful	time increment: 0.20102787017822266	 total time: 65.04916000366211
study: 280from: 4000 successful	time increment: 0.35363078117370605	 total time: 65.40279078483582
study: 281from: 4000 successful	time increment: 0.22834229469299316	 total time: 65.63113307952881
study: 282from: 4000 successful	time increment: 0.2065417766571045	 total time: 65.83767485618591
study: 283from: 4000 successful	time increment: 0.3651597499847412	 total time: 66.20283460617065
study: 284from: 4000 successful	time increment: 0.2161273956298828	 total time: 66.41896200180054
study: 285from: 4000 successful	time increment: 0.3644125461578369	 total time: 66.78337454795837
study: 286from: 4000 successful	time increment: 0.1266801357269287	 total time: 66.9100546836853
study: 287from: 4000 successful	time increment: 0.34236574172973633	 total time: 67.25242042541504
study: 288from: 4000 successful	time increment: 0.1562049388885498	 total time: 67.40862536430359
study: 289from: 4000 successful	time increment: 0.2791786193847656	 total time: 67.68780398368835
study: 290from: 4000 successful	time increment: 0.22777318954467773	 total time: 67.91557717323303
study: 291from: 4000 successful	time increment: 0.202667236328125	 total time: 68.11824440956116
study: 292from: 4000 successful	time increment: 0.2222743034362793	 total time: 68.34051871299744
study: 293from: 4000 successful	time increment: 0.3062622547149658	 total time: 68.6467809677124
study: 294from: 4000 successful	time increment: 0.2112572193145752	 total time: 68.85803818702698
study: 295from: 4000 successful	time increment: 0.22375106811523438	 total time: 69.08178925514221
study: 296from: 4000 successful	time increment: 0.15590643882751465	 total time: 69.23769569396973
study: 297from: 4000 successful	time increment: 0.1132044792175293	 total time: 69.35090017318726
study: 298from: 4000 successful	time increment: 0.22637033462524414	 total time: 69.5772705078125
study: 299from: 4000 successful	time increment: 0.19036865234375	 total time: 69.76763916015625
study: 300from: 4000 successful	time increment: 0.18703365325927734	 total time: 69.95467281341553
study: 301from: 4000 successful	time increment: 0.22038817405700684	 total time: 70.17506098747253
study: 302from: 4000 successful	time increment: 0.1760876178741455	 total time: 70.35114860534668
study: 303from: 4000 successful	time increment: 0.1518239974975586	 total time: 70.50297260284424
study: 304from: 4000 successful	time increment: 0.1977851390838623	 total time: 70.7007577419281
study: 305from: 4000 successful	time increment: 0.17162680625915527	 total time: 70.87238454818726
study: 306from: 4000 successful	time increment: 0.17058086395263672	 total time: 71.04296541213989
study: 307from: 4000 successful	time increment: 0.25198817253112793	 total time: 71.29495358467102
study: 308from: 4000 successful	time increment: 0.13019466400146484	 total time: 71.42514824867249
study: 309from: 4000 successful	time increment: 0.2805759906768799	 total time: 71.70572423934937
study: 310from: 4000 successful	time increment: 0.13669681549072266	 total time: 71.84242105484009
study: 311from: 4000 successful	time increment: 0.152177095413208	 total time: 71.9945981502533
study: 312from: 4000 successful	time increment: 0.1782238483428955	 total time: 72.17282199859619
study: 313from: 4000 successful	time increment: 0.29973435401916504	 total time: 72.47255635261536
study: 314from: 4000 successful	time increment: 0.29407238960266113	 total time: 72.76662874221802
study: 315from: 4000 successful	time increment: 0.18679070472717285	 total time: 72.95341944694519
study: 316from: 4000 successful	time increment: 0.21468329429626465	 total time: 73.16810274124146
study: 317from: 4000 successful	time increment: 0.2584986686706543	 total time: 73.42660140991211
study: 318from: 4000 successful	time increment: 0.20482110977172852	 total time: 73.63142251968384
study: 319from: 4000 successful	time increment: 0.18251371383666992	 total time: 73.81393623352051
study: 320from: 4000 successful	time increment: 0.29016637802124023	 total time: 74.10410261154175
study: 321from: 4000 successful	time increment: 0.16359853744506836	 total time: 74.26770114898682
study: 322from: 4000 successful	time increment: 0.2114098072052002	 total time: 74.47911095619202
study: 323from: 4000 successful	time increment: 0.27808713912963867	 total time: 74.75719809532166
study: 324from: 4000 successful	time increment: 0.27524304389953613	 total time: 75.03244113922119
study: 325from: 4000 successful	time increment: 0.13704323768615723	 total time: 75.16948437690735
study: 326from: 4000 successful	time increment: 0.2594285011291504	 total time: 75.4289128780365
study: 327from: 4000 successful	time increment: 0.16746234893798828	 total time: 75.59637522697449
study: 328from: 4000 successful	time increment: 0.3136105537414551	 total time: 75.90998578071594
study: 329from: 4000 successful	time increment: 0.2722628116607666	 total time: 76.18224859237671
study: 330from: 4000 successful	time increment: 0.2640068531036377	 total time: 76.44625544548035
study: 331from: 4000 successful	time increment: 0.23978543281555176	 total time: 76.6860408782959
study: 332from: 4000 successful	time increment: 0.28734254837036133	 total time: 76.97338342666626
study: 333from: 4000 successful	time increment: 0.1356964111328125	 total time: 77.10907983779907
study: 334from: 4000 successful	time increment: 0.14696836471557617	 total time: 77.25604820251465
study: 335from: 4000 successful	time increment: 0.24650311470031738	 total time: 77.50255131721497
study: 336from: 4000 successful	time increment: 0.24872446060180664	 total time: 77.75127577781677
study: 337from: 4000 successful	time increment: 0.09555959701538086	 total time: 77.84683537483215
study: 338from: 4000 successful	time increment: 0.33081603050231934	 total time: 78.17765140533447
study: 339from: 4000 successful	time increment: 0.3686513900756836	 total time: 78.54630279541016
study: 340from: 4000 successful	time increment: 0.23110008239746094	 total time: 78.77740287780762
study: 341from: 4000 successful	time increment: 0.365464448928833	 total time: 79.14286732673645
study: 342from: 4000 successful	time increment: 0.2053968906402588	 total time: 79.34826421737671
study: 343from: 4000 successful	time increment: 0.2186436653137207	 total time: 79.56690788269043
study: 344from: 4000 successful	time increment: 0.21985244750976562	 total time: 79.7867603302002
study: 345from: 4000 successful	time increment: 0.26354146003723145	 total time: 80.05030179023743
study: 346from: 4000 successful	time increment: 0.2042841911315918	 total time: 80.25458598136902
study: 347from: 4000 successful	time increment: 0.24144506454467773	 total time: 80.4960310459137
study: 348from: 4000 successful	time increment: 0.21973848342895508	 total time: 80.71576952934265
study: 349from: 4000 successful	time increment: 0.23803997039794922	 total time: 80.9538094997406
